Comment,Rating
"
в корне не согласен с прежним отзывом. телефон довольно хорош, маленький и удобный меню стандартное для моторолки - кнопки взять/положить трубку зеркальны, наличие сд карты - конектить с компом впринципе не нужно.												",1
"
сд карта, не убиваемый телефон - разбился на 2 половинки, но продолжил работать												",1
"
вход на наушники не стандартный, нужно привыкать если не было моторолки, немного хлипкое крепление крышки												",0
"
Характеристики неплохие,качественными дисплей и камера. Я довольна, тем более , что это бюджетный вариант. Ещё бюджетные варианты описаны https://smartbobr.ru/dlyasmartfonov/smartfony-do-10000-rublej/#Xiaomi_Redmi_Note_5A__10000, где я его и выбрала												",1
"
1. раздельные слоты для двух SIM-карт и для microSD
2. большой качественный дисплей;
3. неплохие  камеры												",1
"
нет дактилоскопического сканера и отсутствует модуль NFC												",0
"
Работает с 2012 сейчас 2018  хороший телефон, работяга На службе, на даче, в лесу, на рыбалке - влага, температура ему пополам
СПАСИБО рад что он рядом со мной												",1
"
конечно зарядка до 7 суток без частого НЕТА, до конца всегда разряжаю... главное знать на одном последнем проценте держит больше суток... а если поведешься что батарея разряжена и начнешь заряжать портишь аккумулятор 
неприхотлив и падал и плавал 
снимаю даже с борта самолета все ОК												",1
"
тихий звонок и музыка - может после купания (прыгнул за ребенком в озеро с тел) раза 4 вис... пришлось отключать батарею... может вирусы пытались взять тел под управление а он не дался не могу очистить оперативную память, благо сам себя чистит и сообщает очистил мол 4.74 оперативной... Читать полностью ",0
"
Один из лучших телефонов на настоящее время! Очень быстрый и стильный! Хорошая камера! А главное ,батарея очень долгая и конечно цена!												",1
"
Во всем!												",1
"
Нет												",0
"
Ужасная камера, отвратительная просто. Звук громкости, тихий очень. Подсветки на клавишах нет. Индикатора пропущенных вызовов нет. Не стоит таких денег, как на витрине. Хуже китайцев. А, но да за марку самсунг денег же содрать нужно. Фуфло полное. Кто думает его покупать. Сначала хорошенько все... Читать полностью ",0
"
Дизайн												",1
"
Камера, громкость, нет индикатора пропущенных вызовов. Юсб ужасное в упаковке лежит.												",0
"
Китайское фуфло												",0
"
Только батарея.												",1
"
Тормозит страшно. Самостоятельно обновляется при включении Wi-Fi, несмотря на то что функция отключена как таковая. Стекло, которое поставляется вместе с телефоном слабо реагирует на нажатие, чувствительность низкая. После обновления (самостоятельного) с Андроид 6 до 7, вообще практически перестал... Читать полностью ",0
"
Телефон прелесть! Качество отменное: ни одного сбоя, сеть всегда есть, а самое интересное то, что на сегодняшний день (февраль 2018г) аккумулятор (фирменный, LG) чувствует себя вполне здоровым, и это на 13-м году его жизни! 
Молодцы корейцы!												",1
"
Много :-))												",1
"
Не выявлено												",0
"
Очень хороший телефон, пользуюсь третий месяц.												",1
"
Большой экран, претензий к работе нет												",1
"
Для этой цены  не выявил (может пока...)												",0
"
Айфон спорный аппарат. Начну с недостатков. Аккумулятор в нем ерунда. Не то как он его держит- а 1400- сам объем. Ну, понятно что аппарат 2011 года (что по нему не скажешь). При 10% заряда и ниже- просто отключается. Андроиды могут работать на 1 % заряда почти сутки- без использования.И до часа... Читать полностью ",1
"
Производительный. Самый лучший экран, который я видела. Retina. Удобный. Только нужные приложения. Красивый телефон.												",1
"
Аккумулятор. Связь (плохо ловит- у меня). Тяжеловат. Айклауд и все вытекающие. Греется.												",0
"
Пробыл 4 года,батарея стала держать максимум три часа постоянного использования и что-то с камерой случилось(а ведь она одно из лучшего что есть в телефоне)...По хорошей цене не нашла подобного качества камеры...Буду брать опять...												",1
"
Отличная камера и большой экран												",1
"
Слабая батарея,при морозе отключается полностью и пока не отогреется(												",0
